Freq,Impedance,Phase
1.029,9.053,2.653    
1.059,9.053,2.653    
1.091,9.053,2.653    
1.122,9.053,2.653    
1.155,9.053,2.653    
1.189,9.053,2.653    
1.224,9.053,2.653    
1.260,9.053,2.653    
1.297,9.053,2.653    
1.335,9.052,2.778    
1.374,9.052,2.778    
1.414,9.052,2.778    
1.456,9.052,2.778    
1.498,9.052,2.778    
1.542,9.052,2.778    
1.587,9.052,2.778    
1.634,9.052,2.778    
1.682,9.048,2.913    
1.731,9.048,2.913    
1.782,9.048,2.913    
1.834,9.048,2.913    
1.888,9.048,2.913    
1.943,9.048,2.913    
2.000,9.056,3.079    
2.059,9.056,3.079    
2.119,9.056,3.079    
2.181,9.056,3.079    
2.245,9.056,3.079    
2.311,9.056,3.079    
2.378,9.067,3.316    
2.448,9.067,3.316    
2.520,9.067,3.316    
2.594,9.067,3.316    
2.670,9.077,3.631    
2.748,9.077,3.631    
2.828,9.077,3.631    
2.911,9.077,3.631    
2.997,9.086,3.997    
3.084,9.086,3.997    
3.175,9.086,3.997    
3.268,9.086,3.997    
3.364,9.104,4.382    
3.462,9.104,4.382    
3.564,9.104,4.382    
3.668,9.131,4.774    
3.775,9.131,4.774    
3.886,9.131,4.774    
4.000,9.166,5.177    
4.117,9.166,5.177    
4.238,9.166,5.177    
4.362,9.192,5.578    
4.490,9.192,5.578    
4.621,9.192,5.578    
4.757,9.224,5.961    
4.896,9.224,5.961    
5.040,9.257,6.323    
5.187,9.257,6.323    
5.339,9.293,6.658    
5.496,9.293,6.658    
5.657,9.330,6.973    
5.823,9.330,6.973    
5.993,9.362,7.278    
6.169,9.362,7.278    
6.350,9.395,7.571    
6.536,9.395,7.571    
6.727,9.431,7.857    
6.924,9.431,7.857    
7.127,9.472,8.140    
7.336,9.517,8.414    
7.551,9.517,8.414    
7.772,9.561,8.679    
8.000,9.604,8.931    
8.234,9.604,8.931    
8.476,9.648,9.169    
8.724,9.694,9.395    
8.980,9.744,9.610    
9.243,9.744,9.610    
9.514,9.798,9.821    
9.792,9.854,10.035    
10.079,9.908,10.247    
10.375,9.958,10.449    
10.679,10.007,10.641    
10.992,10.056,10.826    
11.314,10.103,11.003    
11.645,10.152,11.168    
11.986,10.206,11.317    
12.338,10.259,11.454    
12.699,10.309,11.578    
13.071,10.357,11.683    
13.454,10.406,11.770    
13.849,10.458,11.842    
14.254,10.511,11.903    
14.672,10.591,11.985    
15.102,10.672,12.062    
15.545,10.729,12.110    
16.000,10.820,12.187    
16.469,10.912,12.274    
16.951,10.999,12.355    
17.448,11.085,12.434    
17.959,11.161,12.525    
18.486,11.232,12.607    
19.027,11.302,12.680    
19.585,11.389,12.767    
20.159,11.449,12.807    
20.749,11.502,12.820    
21.357,11.566,12.801    
21.983,11.624,12.741    
22.627,11.673,12.643    
23.290,11.728,12.506    
23.973,11.787,12.315    
24.675,11.846,12.078    
25.398,11.916,11.815    
26.143,11.989,11.559    
26.909,12.096,11.291    
27.697,12.216,11.096    
28.509,12.303,10.994    
29.344,12.395,10.925    
30.204,12.473,10.884    
31.089,12.513,10.851    
32.000,12.538,10.769    
