Freq,Impedance,Phase
1.029,8.684,2.296    
1.059,8.684,2.296    
1.091,8.684,2.296    
1.122,8.684,2.296    
1.155,8.684,2.296    
1.189,8.684,2.296    
1.224,8.684,2.296    
1.260,8.684,2.296    
1.297,8.684,2.296    
1.335,8.679,2.431    
1.374,8.679,2.431    
1.414,8.679,2.431    
1.456,8.679,2.431    
1.498,8.679,2.431    
1.542,8.679,2.431    
1.587,8.679,2.431    
1.634,8.679,2.431    
1.682,8.675,2.570    
1.731,8.675,2.570    
1.782,8.675,2.570    
1.834,8.675,2.570    
1.888,8.675,2.570    
1.943,8.675,2.570    
2.000,8.681,2.758    
2.059,8.681,2.758    
2.119,8.681,2.758    
2.181,8.681,2.758    
2.245,8.681,2.758    
2.311,8.681,2.758    
2.378,8.692,3.006    
2.448,8.692,3.006    
2.520,8.692,3.006    
2.594,8.692,3.006    
2.670,8.700,3.304    
2.748,8.700,3.304    
2.828,8.700,3.304    
2.911,8.700,3.304    
2.997,8.706,3.619    
3.084,8.706,3.619    
3.175,8.706,3.619    
3.268,8.706,3.619    
3.364,8.723,3.941    
3.462,8.723,3.941    
3.564,8.723,3.941    
3.668,8.743,4.292    
3.775,8.743,4.292    
3.886,8.743,4.292    
4.000,8.767,4.651    
4.117,8.767,4.651    
4.238,8.767,4.651    
4.362,8.780,5.011    
4.490,8.780,5.011    
4.621,8.780,5.011    
4.757,8.798,5.368    
4.896,8.798,5.368    
5.040,8.814,5.718    
5.187,8.814,5.718    
5.339,8.833,6.063    
5.496,8.833,6.063    
5.657,8.854,6.402    
5.823,8.854,6.402    
5.993,8.876,6.737    
6.169,8.876,6.737    
6.350,8.902,7.077    
6.536,8.902,7.077    
6.727,8.931,7.420    
6.924,8.931,7.420    
7.127,8.960,7.766    
7.336,8.988,8.112    
7.551,8.988,8.112    
7.772,9.012,8.453    
8.000,9.035,8.791    
8.234,9.035,8.791    
8.476,9.061,9.127    
8.724,9.090,9.462    
8.980,9.123,9.796    
9.243,9.123,9.796    
9.514,9.158,10.130    
9.792,9.195,10.460    
10.079,9.231,10.788    
10.375,9.263,11.111    
10.679,9.292,11.427    
10.992,9.319,11.738    
11.314,9.344,12.046    
11.645,9.372,12.352    
11.986,9.403,12.653    
12.338,9.437,12.945    
12.699,9.473,13.221    
13.071,9.510,13.480    
13.454,9.550,13.725    
13.849,9.592,13.961    
14.254,9.634,14.187    
14.672,9.698,14.519    
15.102,9.761,14.864    
15.545,9.803,15.104    
16.000,9.876,15.464    
16.469,9.962,15.827    
16.951,10.049,16.183    
17.448,10.134,16.528    
17.959,10.213,16.870    
18.486,10.289,17.204    
19.027,10.372,17.532    
19.585,10.489,17.953    
20.159,10.580,18.237    
20.749,10.671,18.497    
21.357,10.793,18.807    
21.983,10.912,19.095    
22.627,11.028,19.376    
23.290,11.154,19.637    
23.973,11.294,19.860    
24.675,11.444,20.042    
25.398,11.591,20.198    
26.143,11.740,20.344    
26.909,11.929,20.544    
27.697,12.125,20.743    
28.509,12.272,20.872    
29.344,12.436,20.939    
30.204,12.616,20.875    
31.089,12.759,20.721    
32.000,12.937,20.465    
32.938,13.162,20.116    
33.903,13.427,19.714    
34.896,13.700,19.361    
35.919,13.961,19.107    
36.971,14.202,18.917    
38.055,14.416,18.712    
39.170,14.609,18.387    
40.317,14.761,17.964    
41.499,14.895,17.443    
42.715,15.040,16.802    
43.967,15.221,15.825    
45.255,15.461,14.739    
46.581,15.690,13.927    
47.946,15.885,13.410    
