Freq,Impedance,Phase
1.029,8.686,2.218    
1.059,8.686,2.218    
1.091,8.686,2.218    
1.122,8.686,2.218    
1.155,8.686,2.218    
1.189,8.686,2.218    
1.224,8.686,2.218    
1.260,8.686,2.218    
1.297,8.686,2.218    
1.335,8.680,2.362    
1.374,8.680,2.362    
1.414,8.680,2.362    
1.456,8.680,2.362    
1.498,8.680,2.362    
1.542,8.680,2.362    
1.587,8.680,2.362    
1.634,8.680,2.362    
1.682,8.681,2.526    
1.731,8.681,2.526    
1.782,8.681,2.526    
1.834,8.681,2.526    
1.888,8.681,2.526    
1.943,8.681,2.526    
2.000,8.687,2.794    
2.059,8.687,2.794    
2.119,8.687,2.794    
2.181,8.687,2.794    
2.245,8.687,2.794    
2.311,8.687,2.794    
2.378,8.700,3.102    
2.448,8.700,3.102    
2.520,8.700,3.102    
2.594,8.700,3.102    
2.670,8.708,3.410    
2.748,8.708,3.410    
2.828,8.708,3.410    
2.911,8.708,3.410    
2.997,8.718,3.695    
3.084,8.718,3.695    
3.175,8.718,3.695    
3.268,8.718,3.695    
3.364,8.734,3.997    
3.462,8.734,3.997    
3.564,8.734,3.997    
3.668,8.749,4.370    
3.775,8.749,4.370    
3.886,8.749,4.370    
4.000,8.766,4.749    
4.117,8.766,4.749    
4.238,8.766,4.749    
4.362,8.778,5.132    
4.490,8.778,5.132    
4.621,8.778,5.132    
4.757,8.796,5.532    
4.896,8.796,5.532    
5.040,8.813,5.921    
5.187,8.813,5.921    
5.339,8.832,6.282    
5.496,8.832,6.282    
5.657,8.855,6.618    
5.823,8.855,6.618    
5.993,8.883,6.938    
6.169,8.883,6.938    
6.350,8.914,7.254    
6.536,8.914,7.254    
6.727,8.941,7.568    
6.924,8.941,7.568    
7.127,8.967,7.878    
7.336,8.994,8.196    
7.551,8.994,8.196    
7.772,9.022,8.530    
8.000,9.052,8.876    
8.234,9.052,8.876    
8.476,9.085,9.227    
8.724,9.119,9.581    
8.980,9.153,9.938    
9.243,9.153,9.938    
9.514,9.187,10.296    
9.792,9.224,10.651    
10.079,9.263,11.000    
10.375,9.299,11.340    
10.679,9.332,11.668    
10.992,9.362,11.986    
11.314,9.389,12.296    
11.645,9.416,12.593    
11.986,9.446,12.880    
12.338,9.482,13.163    
12.699,9.521,13.437    
13.071,9.561,13.696    
13.454,9.602,13.939    
13.849,9.644,14.175    
14.254,9.689,14.404    
14.672,9.762,14.730    
15.102,9.838,15.052    
15.545,9.887,15.272    
16.000,9.968,15.598    
16.469,10.058,15.920    
16.951,10.149,16.239    
17.448,10.242,16.548    
17.959,10.331,16.849    
18.486,10.418,17.143    
19.027,10.513,17.433    
19.585,10.639,17.802    
20.159,10.734,18.055    
20.749,10.834,18.284    
21.357,10.968,18.546    
21.983,11.102,18.763    
22.627,11.229,18.950    
23.290,11.361,19.095    
23.973,11.501,19.200    
24.675,11.654,19.270    
25.398,11.807,19.317    
26.143,11.971,19.360    
26.909,12.165,19.408    
27.697,12.356,19.457    
28.509,12.492,19.480    
29.344,12.644,19.446    
30.204,12.808,19.266    
31.089,12.933,18.986    
32.000,13.085,18.566    
32.938,13.275,18.042    
33.903,13.497,17.456    
34.896,13.733,16.910    
35.919,13.959,16.455    
36.971,14.162,16.074    
38.055,14.349,15.739    
39.170,14.512,15.378    
40.317,14.621,14.990    
41.499,14.702,14.530    
42.715,14.777,13.922    
43.967,14.869,12.972    
45.255,14.999,11.838    
46.581,15.144,11.017    
47.946,15.262,10.690    
49.351,15.029,9.650    
50.797,15.402,9.147    
52.285,15.446,7.757    
53.817,15.438,6.667    
55.394,15.496,5.960    
57.018,15.538,5.868    
58.688,15.575,5.931    
60.408,15.538,5.351    
62.178,15.450,4.348    
64.000,15.627,2.865    
65.875,15.774,1.073    
67.806,15.717,0.098    
69.792,15.461,-0.812    
71.838,15.124,-1.860    
73.943,14.909,-3.032    
76.109,14.761,-3.314    
78.339,14.493,-2.592    
80.635,14.046,-3.008    
82.998,13.847,-3.953    
85.430,13.910,-3.916    
87.933,13.781,-2.890    
90.510,13.500,-2.622    
93.162,13.423,-2.859    
95.892,13.362,-2.375    
98.701,13.042,-2.130    
101.594,12.870,-2.537    
104.571,13.056,-1.722    
107.635,12.908,0.214    
110.789,12.672,0.391    
114.035,12.787,0.327    
117.377,12.726,1.303    
120.816,12.756,1.481    
124.356,12.973,3.038    
128.000,12.712,3.972    
131.751,12.870,3.775    
135.611,13.149,5.908    
139.585,13.226,7.044    
143.675,13.635,8.430    
147.885,13.984,9.125    
152.219,14.856,9.455    
156.679,15.126,10.342    
161.270,16.103,9.972    
165.995,17.183,9.632    
170.860,18.541,7.230    
175.866,18.843,3.648    
181.019,19.800,2.610    
186.324,20.996,-0.679    
191.783,22.147,-6.790    
197.403,22.163,-13.836    
203.187,21.356,-19.461    
209.141,20.343,-25.276    
215.269,18.591,-29.975    
221.577,16.782,-32.238    
228.070,15.378,-32.858    
234.753,14.243,-32.978    
241.632,13.233,-32.231    
248.712,12.471,-30.991    
256.000,11.858,-29.670    
263.501,11.351,-28.138    
271.223,10.945,-26.511    
279.170,10.647,-24.912    
287.350,10.387,-23.443    
295.770,10.168,-21.897    
304.437,9.991,-20.539    
313.358,9.826,-19.150    
322.540,9.704,-17.757    
331.991,9.608,-16.562    
341.719,9.514,-15.410    
351.732,9.439,-14.276    
362.039,9.383,-13.209    
372.647,9.333,-12.213    
383.567,9.280,-11.229    
394.806,9.237,-10.248    
406.375,9.210,-9.280    
418.282,9.194,-8.363    
430.539,9.190,-7.524    
443.155,9.186,-6.777    
456.140,9.175,-6.063    
469.506,9.162,-5.367    
483.264,9.148,-4.633    
497.424,9.141,-3.870    
512.000,9.144,-3.124    
527.003,9.154,-2.408    
542.445,9.163,-1.689    
558.340,9.186,-0.980    
574.701,9.218,-0.329    
591.541,9.260,0.247    
608.874,9.305,0.695    
626.715,9.335,0.991    
645.080,9.330,1.265    
663.982,9.300,1.634    
683.438,9.259,2.246    
703.464,9.240,2.999    
724.077,9.243,3.771    
745.294,9.259,4.570    
767.133,9.290,5.362    
789.612,9.331,6.161    
812.749,9.386,6.961    
836.565,9.459,7.772    
861.078,9.552,8.561    
886.309,9.677,9.321    
912.280,9.839,9.968    
939.012,10.054,10.364    
966.527,10.301,10.239    
994.849,10.531,9.463    
1024.000,10.660,7.961    
1054.005,10.470,5.866    
1084.890,9.971,5.684    
1116.680,9.733,7.528    
1149.401,9.711,9.005    
1183.081,9.749,10.178    
1217.748,9.795,11.087    
