Freq,Impedance,Phase
1.029,8.702,2.158    
1.059,8.702,2.158    
1.091,8.702,2.158    
1.122,8.702,2.158    
1.155,8.702,2.158    
1.189,8.702,2.158    
1.224,8.702,2.158    
1.260,8.702,2.158    
1.297,8.702,2.158    
1.335,8.695,2.341    
1.374,8.695,2.341    
1.414,8.695,2.341    
1.456,8.695,2.341    
1.498,8.695,2.341    
1.542,8.695,2.341    
1.587,8.695,2.341    
1.634,8.695,2.341    
1.682,8.696,2.535    
1.731,8.696,2.535    
1.782,8.696,2.535    
1.834,8.696,2.535    
1.888,8.696,2.535    
1.943,8.696,2.535    
2.000,8.704,2.846    
2.059,8.704,2.846    
2.119,8.704,2.846    
2.181,8.704,2.846    
2.245,8.704,2.846    
2.311,8.704,2.846    
2.378,8.718,3.213    
2.448,8.718,3.213    
2.520,8.718,3.213    
2.594,8.718,3.213    
2.670,8.725,3.575    
2.748,8.725,3.575    
2.828,8.725,3.575    
2.911,8.725,3.575    
2.997,8.732,3.901    
3.084,8.732,3.901    
3.175,8.732,3.901    
3.268,8.732,3.901    
3.364,8.749,4.228    
3.462,8.749,4.228    
3.564,8.749,4.228    
3.668,8.768,4.620    
3.775,8.768,4.620    
3.886,8.768,4.620    
4.000,8.791,5.011    
4.117,8.791,5.011    
4.238,8.791,5.011    
4.362,8.807,5.392    
4.490,8.807,5.392    
4.621,8.807,5.392    
4.757,8.830,5.777    
4.896,8.830,5.777    
5.040,8.853,6.151    
5.187,8.853,6.151    
5.339,8.876,6.509    
5.496,8.876,6.509    
5.657,8.900,6.853    
5.823,8.900,6.853    
5.993,8.924,7.185    
6.169,8.924,7.185    
6.350,8.952,7.517    
6.536,8.952,7.517    
6.727,8.982,7.858    
6.924,8.982,7.858    
7.127,9.013,8.206    
7.336,9.044,8.563    
7.551,9.044,8.563    
7.772,9.074,8.924    
8.000,9.105,9.285    
8.234,9.105,9.285    
8.476,9.137,9.647    
8.724,9.172,10.010    
8.980,9.209,10.371    
9.243,9.209,10.371    
9.514,9.248,10.727    
9.792,9.289,11.080    
10.079,9.325,11.429    
10.375,9.357,11.773    
10.679,9.387,12.110    
10.992,9.418,12.440    
11.314,9.447,12.763    
11.645,9.476,13.076    
11.986,9.507,13.377    
12.338,9.544,13.670    
12.699,9.584,13.949    
13.071,9.625,14.208    
