Freq,Impedance,Phase
1.029,9.300,2.921    
1.059,9.300,2.921    
1.091,9.300,2.921    
1.122,9.300,2.921    
1.155,9.300,2.921    
1.189,9.300,2.921    
1.224,9.300,2.921    
1.260,9.300,2.921    
1.297,9.300,2.921    
1.335,9.286,3.049    
1.374,9.286,3.049    
1.414,9.286,3.049    
1.456,9.286,3.049    
1.498,9.286,3.049    
1.542,9.286,3.049    
1.587,9.286,3.049    
1.634,9.286,3.049    
1.682,9.270,3.197    
1.731,9.270,3.197    
1.782,9.270,3.197    
1.834,9.270,3.197    
1.888,9.270,3.197    
1.943,9.270,3.197    
2.000,9.257,3.381    
2.059,9.257,3.381    
2.119,9.257,3.381    
2.181,9.257,3.381    
2.245,9.257,3.381    
2.311,9.257,3.381    
2.378,9.258,3.609    
2.448,9.258,3.609    
2.520,9.258,3.609    
2.594,9.258,3.609    
2.670,9.257,3.938    
2.748,9.257,3.938    
2.828,9.257,3.938    
2.911,9.257,3.938    
2.997,9.261,4.306    
3.084,9.261,4.306    
3.175,9.261,4.306    
3.268,9.261,4.306    
3.364,9.277,4.738    
3.462,9.277,4.738    
3.564,9.277,4.738    
3.668,9.298,5.175    
3.775,9.298,5.175    
3.886,9.298,5.175    
4.000,9.329,5.624    
4.117,9.329,5.624    
4.238,9.329,5.624    
4.362,9.348,6.092    
4.490,9.348,6.092    
4.621,9.348,6.092    
4.757,9.376,6.539    
4.896,9.376,6.539    
5.040,9.407,6.976    
5.187,9.407,6.976    
5.339,9.440,7.388    
5.496,9.440,7.388    
5.657,9.475,7.775    
5.823,9.475,7.775    
5.993,9.505,8.157    
6.169,9.505,8.157    
6.350,9.535,8.528    
6.536,9.535,8.528    
6.727,9.573,8.897    
6.924,9.573,8.897    
7.127,9.621,9.264    
7.336,9.673,9.623    
7.551,9.673,9.623    
7.772,9.720,9.984    
8.000,9.758,10.346    
8.234,9.758,10.346    
8.476,9.794,10.705    
8.724,9.834,11.066    
8.980,9.883,11.424    
9.243,9.883,11.424    
9.514,9.942,11.779    
9.792,10.005,12.134    
10.079,10.069,12.476    
10.375,10.130,12.797    
10.679,10.186,13.100    
10.992,10.233,13.393    
11.314,10.276,13.686    
11.645,10.321,13.979    
11.986,10.376,14.265    
12.338,10.439,14.546    
12.699,10.503,14.815    
13.071,10.568,15.063    
13.454,10.639,15.285    
13.849,10.714,15.484    
14.254,10.789,15.668    
14.672,10.895,15.946    
15.102,11.001,16.241    
15.545,11.075,16.451    
16.000,11.194,16.783    
16.469,11.321,17.118    
16.951,11.449,17.410    
17.448,11.572,17.669    
17.959,11.678,17.915    
18.486,11.776,18.144    
19.027,11.880,18.368    
19.585,12.025,18.648    
20.159,12.140,18.797    
20.749,12.256,18.888    
21.357,12.401,18.915    
21.983,12.534,18.883    
22.627,12.657,18.822    
23.290,12.792,18.711    
23.973,12.944,18.536    
24.675,13.120,18.267    
25.398,13.313,17.966    
26.143,13.503,17.675    
26.909,13.752,17.427    
27.697,14.016,17.324    
28.509,14.213,17.304    
29.344,14.409,17.257    
30.204,14.578,17.062    
31.089,14.676,16.791    
32.000,14.774,16.372    
32.938,14.913,15.775    
33.903,15.078,15.023    
34.896,15.248,14.255    
35.919,15.417,13.575    
36.971,15.592,13.006    
38.055,15.767,12.497    
39.170,15.926,11.914    
40.317,16.024,11.329    
41.499,16.059,10.720    
42.715,16.103,10.038    
43.967,16.163,9.024    
45.255,16.266,7.845    
46.581,16.403,7.179    
47.946,16.520,6.982    
49.351,16.192,6.328    
50.797,16.332,5.890    
52.285,16.222,4.616    
53.817,16.212,3.182    
55.394,16.325,1.952    
57.018,16.433,1.594    
58.688,16.477,1.776    
60.408,16.389,1.969    
62.178,16.141,1.387    
64.000,16.003,-0.033    
65.875,16.008,-1.953    
67.806,15.954,-2.564    
69.792,15.799,-2.781    
71.838,15.569,-3.767    
73.943,15.379,-4.707    
76.109,15.291,-4.432    
78.339,15.014,-3.486    
80.635,14.460,-3.484    
82.998,14.148,-4.984    
85.430,14.475,-5.610    
87.933,14.650,-4.272    
90.510,14.354,-3.890    
93.162,13.985,-4.737    
95.892,13.742,-4.650    
98.701,13.431,-3.991    
101.594,13.207,-4.372    
104.571,13.494,-3.862    
107.635,13.353,-0.831    
110.789,12.812,-0.876    
114.035,12.948,-1.574    
117.377,13.071,0.201    
120.816,12.961,1.111    
124.356,13.176,2.531    
128.000,12.911,3.887    
131.751,13.120,3.250    
135.611,13.584,5.916    
139.585,13.389,7.449    
143.675,13.920,8.086    
147.885,14.233,9.430    
152.219,15.160,10.390    
156.679,15.566,11.796    
161.270,16.601,10.385    
165.995,17.759,11.063    
170.860,18.994,8.951    
175.866,19.813,6.212    
181.019,21.446,3.828    
186.324,22.579,0.027    
191.783,23.902,-7.031    
197.403,23.869,-14.929    
203.187,22.742,-21.888    
209.141,20.900,-28.096    
215.269,18.683,-30.851    
221.577,17.079,-32.242    
228.070,15.711,-32.908    
234.753,14.487,-32.575    
241.632,13.557,-31.540    
248.712,12.798,-30.032    
256.000,12.264,-28.596    
263.501,11.797,-27.056    
271.223,11.415,-25.459    
279.170,11.128,-23.874    
287.350,10.892,-22.482    
295.770,10.656,-21.079    
304.437,10.478,-19.593    
313.358,10.342,-18.252    
322.540,10.213,-16.972    
331.991,10.117,-15.739    
341.719,10.035,-14.607    
351.732,9.960,-13.485    
362.039,9.913,-12.423    
372.647,9.870,-11.447    
383.567,9.833,-10.490    
394.806,9.809,-9.604    
406.375,9.782,-8.817    
418.282,9.751,-7.994    
430.539,9.728,-7.181    
443.155,9.717,-6.388    
456.140,9.702,-5.669    
469.506,9.686,-4.936    
483.264,9.678,-4.175    
497.424,9.677,-3.435    
512.000,9.685,-2.704    
527.003,9.689,-2.018    
542.445,9.704,-1.295    
558.340,9.730,-0.613    
574.701,9.765,-0.003    
591.541,9.802,0.518    
608.874,9.831,0.955    
626.715,9.853,1.319    
645.080,9.841,1.659    
663.982,9.802,2.152    
683.438,9.775,2.855    
703.464,9.773,3.636    
724.077,9.789,4.438    
745.294,9.817,5.219    
767.133,9.855,6.011    
789.612,9.907,6.795    
812.749,9.971,7.580    
836.565,10.047,8.350    
861.078,10.141,9.170    
886.309,10.270,9.986    
912.280,10.453,10.760    
939.012,10.705,11.300    
966.527,11.031,11.271    
994.849,11.371,10.278    
1024.000,11.504,8.010    
1054.005,11.153,5.589    
1084.890,10.561,6.199    
1116.680,10.399,8.105    
1149.401,10.388,9.445    
1183.081,10.421,10.558    
1217.748,10.467,11.530    
1253.431,10.544,12.490    
1290.159,10.643,13.282    
1327.964,10.749,14.044    
1366.876,10.882,14.726    
1406.929,11.019,15.234    
1448.155,11.166,15.812    
1490.589,11.369,16.253    
1534.266,11.590,16.282    
1579.224,11.767,15.899    
1625.499,11.875,15.518    
1673.129,11.973,14.840    
1722.156,11.879,14.004    
1772.619,11.676,14.082    
1824.561,11.573,14.775    
1878.024,11.556,15.529    
1933.055,11.575,16.087    
1989.697,11.571,16.647    
2048.000,11.588,17.422    
2108.011,11.623,18.131    
2169.780,11.683,18.859    
2233.360,11.757,19.562    
2298.802,11.849,20.129    
2366.162,11.890,20.843    
2435.496,12.004,21.735    
2506.862,12.174,22.609    
2580.318,12.485,22.832    
2655.927,12.426,22.114    
2733.752,12.377,23.446    
2813.857,12.538,24.489    
2896.309,12.744,25.293    
2981.178,13.002,25.959    
3068.533,13.318,26.341    
3158.448,13.655,25.981    
3250.997,13.690,24.484    
3346.259,13.495,25.462    
3444.312,13.742,25.751    
3545.238,13.702,25.719    
3649.121,13.667,26.313    
3756.049,13.745,27.314    
3866.109,13.899,28.228    
3979.395,14.158,28.898    
4096.000,14.351,28.904    
4216.022,14.429,29.401    
4339.561,14.616,29.968    
4466.720,14.786,30.476    
4597.605,15.037,30.945    
4732.325,15.271,30.930    
4870.992,15.410,31.019    
5013.723,15.494,31.091    
5160.637,15.555,31.631    
5311.855,15.705,32.130    
5467.504,15.828,32.700    
5627.714,16.017,33.275    
5792.619,16.202,33.829    
5962.355,16.407,34.320    
6137.066,16.651,34.890    
6316.896,16.886,35.210    
6501.995,17.101,35.599    
6692.518,17.334,35.920    
6888.623,17.493,36.266    
7090.476,17.719,36.898    
7298.242,17.997,37.290    
7512.097,18.223,37.649    
7732.218,18.469,38.124    
7958.790,18.727,38.572    
8192.000,19.010,39.086    
8432.044,19.343,39.503    
8679.122,19.663,39.755    
8933.439,19.935,40.012    
9195.209,20.209,40.379    
9464.649,20.514,40.775    
9741.985,20.845,41.130    
10027.447,21.172,41.405    
10321.273,21.483,41.679    
10623.710,21.793,42.024    
10935.008,22.130,42.375    
11255.428,22.490,42.704    
11585.238,22.851,42.983    
11924.711,23.206,43.263    
12274.132,23.569,43.587    
12633.791,23.960,43.851    
13003.989,24.327,44.140    
13385.035,24.720,44.436    
13777.247,25.119,44.726    
14180.951,25.529,45.012    
14596.485,25.954,45.293    
15024.194,26.392,45.557    
15464.437,26.837,45.806    
15917.579,27.290,46.042    
16384.000,27.750,46.276    
16864.088,28.219,46.499    
17358.243,28.685,46.719    
17866.879,29.139,46.931    
18390.418,29.586,47.134    
18929.299,30.022,47.327    
19483.969,30.441,47.527    
20054.893,30.832,47.730    
20642.546,31.166,47.976    
