Freq,Impedance,Phase
1.029,7.714,2.656
1.059,7.714,2.656
1.091,7.714,2.656
1.122,7.714,2.656
1.155,7.714,2.656
1.189,7.714,2.656
1.224,7.714,2.656
1.260,7.714,2.656
1.297,7.714,2.656
1.335,7.710,2.826
1.374,7.710,2.826
1.414,7.710,2.826
1.456,7.710,2.826
1.498,7.710,2.826
1.542,7.710,2.826
1.587,7.710,2.826
1.634,7.710,2.826
1.682,7.708,3.045
1.731,7.708,3.045
1.782,7.708,3.045
1.834,7.708,3.045
1.888,7.708,3.045
1.943,7.708,3.045
2.000,7.703,3.354
2.059,7.703,3.354
2.119,7.703,3.354
2.181,7.703,3.354
2.245,7.703,3.354
2.311,7.703,3.354
2.378,7.707,3.694
2.448,7.707,3.694
2.520,7.707,3.694
2.594,7.707,3.694
2.670,7.708,4.106
2.748,7.708,4.106
2.828,7.708,4.106
2.911,7.708,4.106
2.997,7.717,4.499
3.084,7.717,4.499
3.175,7.717,4.499
3.268,7.717,4.499
3.364,7.736,4.925
3.462,7.736,4.925
3.564,7.736,4.925
3.668,7.758,5.342
3.775,7.758,5.342
3.886,7.758,5.342
4.000,7.784,5.733
4.117,7.784,5.733
4.238,7.784,5.733
4.362,7.793,6.138
4.490,7.793,6.138
4.621,7.793,6.138
4.757,7.794,6.557
4.896,7.794,6.557
5.040,7.782,7.002
5.187,7.782,7.002
5.339,7.768,7.480
5.496,7.768,7.480
5.657,7.763,7.991
5.823,7.763,7.991
5.993,7.769,8.537
6.169,7.769,8.537
6.350,7.792,9.097
6.536,7.792,9.097
6.727,7.828,9.648
6.924,7.828,9.648
7.127,7.872,10.179
7.336,7.921,10.669
7.551,7.921,10.669
7.772,7.973,11.112
8.000,8.027,11.500
8.234,8.027,11.500
8.476,8.083,11.837
8.724,8.136,12.141
8.980,8.182,12.429
9.243,8.182,12.429
9.514,8.221,12.719
9.792,8.251,13.028
10.079,8.274,13.371
10.375,8.290,13.758
10.679,8.305,14.199
10.992,8.320,14.690
11.314,8.340,15.228
11.645,8.369,15.800
11.986,8.411,16.401
12.338,8.462,17.026
12.699,8.522,17.659
13.071,8.589,18.282
13.454,8.666,18.891
13.849,8.754,19.483
14.254,8.851,20.052
14.672,9.015,20.847
15.102,9.184,21.597
15.545,9.293,22.080
16.000,9.453,22.787
16.469,9.608,23.500
16.951,9.751,24.256
17.448,9.884,25.061
17.959,10.006,25.958
18.486,10.122,26.936
19.027,10.252,28.012
19.585,10.461,29.556
20.159,10.654,30.750
20.749,10.904,31.938
21.357,11.326,33.425
21.983,11.870,34.685
22.627,12.536,35.617
23.290,13.340,36.129
23.973,14.276,36.166
24.675,15.350,35.714
25.398,16.556,34.786
26.143,17.886,33.394
26.909,19.701,31.012
27.697,21.624,27.992
28.509,23.195,25.048
29.344,25.119,20.680
30.204,27.226,14.469
31.089,28.648,8.517
32.000,29.584,1.441
32.938,29.777,-6.501
33.903,28.977,-14.853
34.896,27.140,-22.416
35.919,24.598,-28.418
36.971,21.893,-32.440
38.055,19.510,-34.683
39.170,17.393,-35.920
40.317,15.800,-36.621
41.499,14.623,-37.140
42.715,13.729,-37.551
43.967,13.096,-37.828
45.255,12.594,-37.590
46.581,12.224,-36.600
47.946,11.870,-34.980
49.351,11.477,-33.077
50.797,10.980,-31.229
52.285,10.510,-29.819
53.817,10.120,-28.698
55.394,9.748,-27.684
57.018,9.458,-27.063
58.688,9.217,-26.747
60.408,9.033,-26.672
62.178,8.984,-26.462
64.000,9.013,-25.736
65.875,9.028,-24.239
67.806,8.952,-22.308
69.792,8.773,-20.708
71.838,8.595,-19.780
73.943,8.481,-19.186
76.109,8.413,-18.512
78.339,8.373,-17.638
